"","Elevation","DateTime","HeartRate","Longitude","Latitude","Seconds"
"1",2712,"2013-10-01T20:43:11Z",0,-99.655901,19.26785,0
"2",2709,"2013-10-01T20:43:13Z",0,-99.655124,19.267642,2
"3",2708,"2013-10-01T20:43:14Z",0,-99.654863,19.267566,3
"4",2707,"2013-10-01T20:43:15Z",0,-99.654574,19.267514,4
"5",2706,"2013-10-01T20:43:16Z",0,-99.654367,19.267476,5
"6",2706,"2013-10-01T20:43:17Z",0,-99.654231,19.267467,6
"7",2706,"2013-10-01T20:43:18Z",0,-99.654036,19.267407,7
"8",2706,"2013-10-01T20:43:19Z",0,-99.653854,19.267375,8
"9",2706,"2013-10-01T20:43:20Z",0,-99.653638,19.267343,9
"10",2705,"2013-10-01T20:43:21Z",0,-99.653362,19.267329,10
"11",2704,"2013-10-01T20:43:22Z",0,-99.653108,19.267323,11
"12",2704,"2013-10-01T20:43:23Z",0,-99.652879,19.267326,12
"13",2703,"2013-10-01T20:43:24Z",0,-99.652609,19.26745,13
"14",2703,"2013-10-01T20:43:25Z",0,-99.65232,19.267599,14
"15",2703,"2013-10-01T20:43:26Z",0,-99.651999,19.267806,15
"16",2703,"2013-10-01T20:43:27Z",0,-99.651701,19.267929,16
"17",2703,"2013-10-01T20:43:28Z",0,-99.651399,19.268022,17
"18",2704,"2013-10-01T20:43:29Z",0,-99.651074,19.268103,18
"19",2703,"2013-10-01T20:43:30Z",0,-99.650782,19.268165,19
"20",2703,"2013-10-01T20:43:31Z",0,-99.650468,19.268239,20
"21",2703,"2013-10-01T20:43:32Z",0,-99.65014,19.26833,21
"22",2703,"2013-10-01T20:43:33Z",0,-99.649818,19.268412,22
"23",2703,"2013-10-01T20:43:34Z",0,-99.649486,19.268496,23
"24",2703,"2013-10-01T20:43:35Z",0,-99.649174,19.268573,24
"25",2701,"2013-10-01T20:43:36Z",0,-99.648869,19.268643,25
"26",2700,"2013-10-01T20:43:37Z",0,-99.648556,19.268734,26
"27",2698,"2013-10-01T20:43:38Z",0,-99.648249,19.268778,27
"28",2697,"2013-10-01T20:43:39Z",0,-99.647948,19.268814,28
"29",2696,"2013-10-01T20:43:40Z",0,-99.647678,19.268852,29
"30",2696,"2013-10-01T20:43:41Z",0,-99.647406,19.268879,30
"31",2696,"2013-10-01T20:43:42Z",0,-99.647146,19.268913,31
"32",2696,"2013-10-01T20:43:43Z",0,-99.646905,19.268959,32
"33",2697,"2013-10-01T20:43:44Z",0,-99.646661,19.269002,33
"34",2697,"2013-10-01T20:43:45Z",0,-99.64642,19.269044,34
"35",2697,"2013-10-01T20:43:46Z",0,-99.646156,19.269135,35
"36",2697,"2013-10-01T20:43:47Z",0,-99.645889,19.269199,36
"37",2696,"2013-10-01T20:43:48Z",0,-99.645637,19.269277,37
"38",2695,"2013-10-01T20:43:49Z",0,-99.645403,19.269367,38
"39",2694,"2013-10-01T20:43:50Z",0,-99.64518,19.269461,39
"40",2694,"2013-10-01T20:43:51Z",0,-99.644958,19.269526,40
"41",2693,"2013-10-01T20:43:52Z",0,-99.644751,19.269588,41
"42",2692,"2013-10-01T20:43:53Z",0,-99.644527,19.269642,42
"43",2692,"2013-10-01T20:43:54Z",0,-99.644302,19.2697,43
"44",2691,"2013-10-01T20:43:55Z",0,-99.644066,19.269758,44
"45",2691,"2013-10-01T20:43:56Z",0,-99.643835,19.269819,45
"46",2690,"2013-10-01T20:43:57Z",0,-99.643604,19.269879,46
"47",2690,"2013-10-01T20:43:58Z",0,-99.643371,19.269939,47
"48",2690,"2013-10-01T20:43:59Z",0,-99.643135,19.269999,48
"49",2690,"2013-10-01T20:44:00Z",0,-99.642898,19.27006,49
"50",2689,"2013-10-01T20:44:01Z",0,-99.642656,19.270131,50
"51",2689,"2013-10-01T20:44:02Z",0,-99.642411,19.270209,51
"52",2689,"2013-10-01T20:44:03Z",0,-99.642166,19.27029,52
"53",2689,"2013-10-01T20:44:04Z",0,-99.641919,19.270362,53
"54",2689,"2013-10-01T20:44:05Z",0,-99.641672,19.270449,54
"55",2689,"2013-10-01T20:44:06Z",0,-99.641425,19.270519,55
"56",2689,"2013-10-01T20:44:07Z",0,-99.641177,19.270588,56
"57",2689,"2013-10-01T20:44:08Z",0,-99.640931,19.270698,57
"58",2689,"2013-10-01T20:44:09Z",0,-99.640684,19.270773,58
"59",2689,"2013-10-01T20:44:10Z",0,-99.640445,19.270849,59
"60",2689,"2013-10-01T20:44:11Z",0,-99.640207,19.270923,60
"61",2690,"2013-10-01T20:44:12Z",0,-99.639975,19.270974,61
"62",2689,"2013-10-01T20:44:13Z",0,-99.639732,19.270986,62
"63",2690,"2013-10-01T20:44:14Z",0,-99.639503,19.271021,63
"64",2690,"2013-10-01T20:44:15Z",0,-99.639262,19.271078,64
"65",2690,"2013-10-01T20:44:16Z",0,-99.639017,19.271145,65
"66",2691,"2013-10-01T20:44:17Z",0,-99.638773,19.27121,66
"67",2691,"2013-10-01T20:44:18Z",0,-99.63853,19.271267,67
"68",2691,"2013-10-01T20:44:19Z",0,-99.638274,19.271293,68
"69",2691,"2013-10-01T20:44:20Z",0,-99.638022,19.271326,69
"70",2690,"2013-10-01T20:44:21Z",0,-99.637786,19.271341,70
"71",2688,"2013-10-01T20:44:22Z",0,-99.637561,19.27136,71
